id_campaign_access,fk_campaign,shipment_scheme,start_date,end_date
1,1,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
2,1,EXPRESS MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
3,1,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
4,1,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
5,2,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
6,2,EXPRESS MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
7,2,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
8,2,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
9,3,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
10,3,EXPRESS MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
11,3,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
12,3,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
13,4,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
14,4,EXPRESS MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
15,4,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
16,4,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
17,5,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
18,5,EXPRESS MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
19,5,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
20,5,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
21,6,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
22,6,EXPRESS MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
23,6,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
24,6,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
25,7,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
26,7,EXPRESS MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
27,7,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
28,7,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
29,8,DIRECT BILLING,1900-01-01 00:00:00,9999-12-31 23:59:59
30,8,EXPRESS DIRECT BILLING,1900-01-01 00:00:00,9999-12-31 23:59:59
31,8,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
32,8,EXPRESS MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
33,8,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
34,8,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
35,9,DIRECT BILLING,1900-01-01 00:00:00,9999-12-31 23:59:59
36,9,EXPRESS DIRECT BILLING,1900-01-01 00:00:00,9999-12-31 23:59:59
37,9,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
38,9,EXPRESS MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
39,9,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
40,9,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
41,10,DIRECT BILLING,1900-01-01 00:00:00,9999-12-31 23:59:59
42,10,EXPRESS DIRECT BILLING,1900-01-01 00:00:00,9999-12-31 23:59:59
43,10,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
44,10,EXPRESS MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
45,10,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
46,10,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
47,11,DIRECT BILLING,1900-01-01 00:00:00,9999-12-31 23:59:59
48,11,EXPRESS DIRECT BILLING,1900-01-01 00:00:00,9999-12-31 23:59:59
49,11,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
50,11,EXPRESS MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
51,11,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
52,11,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
