id_campaign_mapping,campaign,eligible,start_date,end_date
1,1,GO-JEK FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
2,1,GO-JEK,1900-01-01 00:00:00,9999-12-31 23:59:59
3,1,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
4,1,EXPRESS,1900-01-01 00:00:00,9999-12-31 23:59:59
5,1,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
6,1,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
7,2,GO-JEK FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
8,2,GO-JEK,1900-01-01 00:00:00,9999-12-31 23:59:59
9,2,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
10,2,EXPRESS,1900-01-01 00:00:00,9999-12-31 23:59:59
11,2,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
12,2,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
13,3,GO-JEK FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
14,3,GO-JEK,1900-01-01 00:00:00,9999-12-31 23:59:59
15,3,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
16,3,EXPRESS,1900-01-01 00:00:00,9999-12-31 23:59:59
17,3,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
18,3,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
19,4,GO-JEK FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
20,4,GO-JEK,1900-01-01 00:00:00,9999-12-31 23:59:59
21,4,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
22,4,EXPRESS,1900-01-01 00:00:00,9999-12-31 23:59:59
23,4,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
24,4,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
25,5,GO-JEK FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
26,5,GO-JEK,1900-01-01 00:00:00,9999-12-31 23:59:59
27,5,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
28,5,EXPRESS,1900-01-01 00:00:00,9999-12-31 23:59:59
29,5,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
30,5,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
31,6,GO-JEK FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
32,6,GO-JEK,1900-01-01 00:00:00,9999-12-31 23:59:59
33,6,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
34,6,EXPRESS,1900-01-01 00:00:00,9999-12-31 23:59:59
35,6,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
36,6,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
37,7,GO-JEK FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
38,7,GO-JEK,1900-01-01 00:00:00,9999-12-31 23:59:59
39,7,EXPRESS FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
40,7,EXPRESS,1900-01-01 00:00:00,9999-12-31 23:59:59
41,7,FBL,1900-01-01 00:00:00,9999-12-31 23:59:59
42,7,MASTER ACCOUNT,1900-01-01 00:00:00,9999-12-31 23:59:59
